n_probes,parallel_mode,run,queries_per_s,latency_50th,latency_95th
1,0,0,305334.9669098832,0.1270771026611328,0.179290771484375
1,0,1,332920.9032821368,0.1251697540283203,0.3142595291137692
1,0,2,348593.1371856427,0.1327991485595703,0.18788576126098616
1,1,0,111515.31522860711,0.13256072998046875,0.3108978271484375
1,1,1,138598.27620561683,0.11730194091796875,0.1621246337890625
1,1,2,134940.57768655132,0.11706352233886719,0.2341389656066893
1,2,0,304797.3397204846,0.12683868408203125,0.227713584899902
1,2,1,281077.37176188023,0.12683868408203125,0.20147562026977522
1,2,2,202525.15205185505,0.12040138244628906,0.19598007202148438
2,0,0,213567.96610859912,0.16617774963378906,0.2467751502990721
2,0,1,198462.47679685662,0.16391277313232422,0.33974647521972656
2,0,2,199929.26239361952,0.1609325408935547,0.2300739288330078
2,1,0,41393.651045232364,0.30231475830078125,0.40078163146972656
2,1,1,46669.25921537014,0.3027915954589844,0.4222512245178221
2,1,2,45195.853360106936,0.30422210693359375,0.5936622619628906
2,2,0,237786.21994368153,0.28133392333984375,0.4112839698791502
2,2,1,109673.27107808542,0.2772808074951172,0.3822088241577145
2,2,2,133991.76428870353,0.27751922607421875,0.37217140197753906
4,0,0,119988.95746765553,0.29087066650390625,0.4725575447082518
4,0,1,119684.3006066818,0.2918243408203125,0.46896934509277344
4,0,2,118412.81859957206,0.2903938293457031,0.4573106765747067
4,1,0,28444.49266983485,0.4322528839111328,0.7093191146850583
4,1,1,35785.100536131846,0.4227161407470703,0.5543351173400877
4,1,2,33423.968890708275,0.4258155822753906,0.6289720535278317
4,2,0,55726.3955235045,0.3941059112548828,0.5097389221191406
4,2,1,55523.24215288012,0.4010200500488281,0.6316065788269037
4,2,2,59564.45830236272,0.4096031188964844,0.8871555328369141
8,0,0,70162.22290732583,0.5505084991455078,0.8142113685607908
8,0,1,65508.138569814524,0.5526542663574219,0.8106350898742674
8,0,2,66939.17052515192,0.5545616149902344,0.822794437408447
8,1,0,20912.475716063265,0.8852481842041016,2.74386405944824
8,1,1,22528.18007143934,0.9107589721679688,2.5224804878234863
8,1,2,20532.9374820307,0.8227825164794922,1.0600209236145017
8,2,0,32097.7807837612,0.8165836334228516,2.4492740631103516
8,2,1,40631.00787238952,0.8356571197509766,1.0807514190673828
8,2,2,32390.40380662369,0.8134841918945312,1.0574221611022945
16,0,0,29992.262928846118,1.598358154296875,2.103579044342041
16,0,1,28300.48155912611,1.5077590942382812,2.0223617553710924
16,0,2,32517.359747651328,1.41143798828125,1.8491744995117188
16,1,0,10743.59802634378,1.4755725860595703,2.131736278533935
16,1,1,10003.495006938736,1.4979839324951172,2.1627306938171382
16,1,2,9603.436581340113,1.4865398406982422,2.486813068389891
16,2,0,14170.192966877396,1.4755725860595703,2.7479767799377273
16,2,1,13698.603830014019,1.4827251434326172,2.6421785354614253
16,2,2,18177.545779262233,1.461029052734375,2.367889881134031
32,0,0,17893.420450995847,2.9621124267578125,3.9890408515930167
32,0,1,18982.233211467843,2.830028533935547,3.7400960922241206
32,0,2,18890.157999719595,2.8939247131347656,3.646862506866455
32,1,0,6882.739371963882,2.965688705444336,5.026626586914062
32,1,1,6436.536596923187,2.933502197265625,5.153727531433105
32,1,2,6861.445282410376,2.8868913650512695,4.982984066009521
32,2,0,8445.858080078651,2.9218196868896484,4.417610168457029
32,2,1,8108.480904625909,3.1325817108154297,5.579721927642822
32,2,2,6035.649771765654,3.1380653381347656,5.447661876678466
64,0,0,10319.03737690876,4.9877166748046875,6.140589714050291
64,0,1,9721.703832027624,5.424857139587402,7.149863243103021
64,0,2,10959.552123878593,4.178285598754883,5.066668987274169
64,1,0,2725.0537301494974,3.9080381393432617,6.1595797538757315
64,1,1,3611.0438621352755,4.484057426452637,6.4758539199829075
64,1,2,3112.282948375027,4.193305969238281,6.4589262008666966
64,2,0,3385.7756325646096,4.69970703125,7.79522657394409
64,2,1,3863.53000367672,4.982233047485352,9.061038494110106
64,2,2,3005.8489049781642,5.1261186599731445,9.439468383789055
128,0,0,5119.424689652185,7.514595985412598,13.029289245605465
128,0,1,6149.331241988965,8.10098648071289,9.585916996002197
128,0,2,6441.47139511344,7.409930229187012,9.081614017486572
128,1,0,1830.5754080953297,7.8345537185668945,10.30498743057251
